mol,pic50,smiles
CHEMBL1793892,8.346787486,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCF)CC4)c2)CC1
CHEMBL1793893,8.22184875,CCn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2
CHEMBL1793894,7.823908741,COCCn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2
CHEMBL1793895,8,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCCl)CC4)c2)CC1
CHEMBL1793896,8.455931956,C=Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2
CHEMBL1794067,9,C[C@@H](Oc1cc(-n2cnc3ccc(OC[C@@H](O)CO)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1794068,8.15490196,C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1794069,8.22184875,C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1794070,8.698970004,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1802870,4.698970004,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]c(CC)nc1C)C(=O)N2
CHEMBL1807300,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCC[C@@H]4CN4CCCC4)cc3OC(F)(F)F)nc1-2
CHEMBL1807301,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCC[C@H]4CN4CCCC4)cc3OC)nc1-2
CHEMBL1807302,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCC[C@H]4CN4CCCC4)cc3OC(F)(F)F)nc1-2
CHEMBL1807303,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCC(N(C)C)CC4)cc3OC)nc1-2
CHEMBL1807304,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCC(N(C)C)CC4)cc3OC(F)(F)F)nc1-2
CHEMBL1807305,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCCN(C)CC4)cc3OC)nc1-2
CHEMBL1807306,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCCN(C)CC4)cc3OC(F)(F)F)nc1-2
CHEMBL1808334,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2
CHEMBL1808335,5,Cn1nc(C(=O)NCCc2ccccc2)c2c1-c1nc(Nc3ccccc3)ncc1CC2
CHEMBL1808336,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3OC)nc1-2
CHEMBL1808337,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3OC(F)(F)F)nc1-2
CHEMBL1808338,5.517984424,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(N)=O)cc3OC)nc1-2
CHEMBL1808339,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(N)=O)cc3OC(F)(F)F)nc1-2
CHEMBL1808340,6.625251654,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc1-2
CHEMBL1808341,5.781989957,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)NCCN(C)C)cc3OC)nc1-2
CHEMBL1808342,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)NCCN(C)C)cc3OC(F)(F)F)nc1-2
CHEMBL1808343,5,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)N4CCC[C@@H]4CN4CCCC4)cc3OC)nc1-2
CHEMBL188343,5.301029996,c1nc2c(NC3CCCCC3)nc(Nc3ccc(N4CCOCC4)cc3)nc2[nH]1
CHEMBL1908394,7,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1922224,4,Cc1ccc(O)cc1CC[C@@H]1[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/CC(C)C
CHEMBL1922225,4,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@H](CCc3cc(O)ccc3C)C(=O)CC[C@@]21C)C(C)C
CHEMBL1929238,4.522878745,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O
CHEMBL1933575,5,NC(=O)c1c[nH]c(-c2ccnc(N)n2)c1
CHEMBL1933576,7.823908741,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4C)n3)c2)CC1
CHEMBL1933577,7.744727495,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4CC(F)(F)F)n3)c2)CC1
CHEMBL1933578,7.744727495,Cn1cc(C(N)=O)cc1-c1ccnc(Nc2cc(N3CCNCC3)ccc2OC(F)(F)F)n1
CHEMBL1933579,6.821023053,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4CCO)n3)c2)CC1
CHEMBL1933580,6.565431096,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4CCOC4CCCCO4)n3)c2)CC1
CHEMBL1933581,5,Cn1cc(C(N)=O)cc1-c1ccnc(Nc2cc(N3CCN(C(=O)OC(C)(C)C)CC3)ccc2OC(F)(F)F)n1
CHEMBL1933582,8.045757491,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1
CHEMBL1933583,7.552841969,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4CC(F)(F)F)CCNC5=O)n3)c2)CC1
CHEMBL1933584,6.991399828,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4CCO)CCNC5=O)n3)c2)CC1
CHEMBL1933585,6.087777943,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCN(C(=O)OC(C)(C)C)C5=O)n3)c2)CC1
CHEMBL1944642,7.408935393,CN(C)CCCc1cccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)c1
CHEMBL1944678,7.744727495,COc1ccc(Nc2ncc3c(n2)-c2ccc(C(F)(F)F)cc2NC(=O)C3)cc1OC
CHEMBL1944679,6.346787486,COc1ccc(Nc2ncc3c(n2)-c2ccccc2NC(=O)C3)cc1OC
CHEMBL1944680,6.698970004,COc1ccc(Nc2ncc3c(n2)-c2ccc(F)cc2NC(=O)C3)cc1OC
CHEMBL1944681,7.187086643,COc1ccc(Nc2ncc3c(n2)-c2ccc(C)cc2NC(=O)C3)cc1OC
CHEMBL1944682,7.080921908,COc1ccc(Nc2ncc3c(n2)-c2ccc(C#N)cc2NC(=O)C3)cc1OC
CHEMBL1944683,7.508638306,CCc1ccc2c(c1)NC(=O)Cc1cnc(Nc3ccc(OC)c(OC)c3)nc1-2
CHEMBL1944684,6.920818754,COc1cccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)c1
CHEMBL1944685,7.107905397,COc1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)cc1
CHEMBL1944686,7.48148606,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)cc(OC)c1
CHEMBL1944687,6.431798276,O=C1Cc2cnc(Nc3ccccc3)nc2-c2ccc(Cl)cc2N1
CHEMBL1944688,7.408935393,O=C1Cc2cnc(Nc3cccc(C(=O)O)c3)nc2-c2ccc(Cl)cc2N1
CHEMBL1945021,7.443697499,O=C1Cc2cnc(Nc3ccc(C(=O)O)cc3)nc2-c2ccc(Cl)cc2N1
CHEMBL1945022,6.920818754,O=C1Cc2cnc(Nc3ccc(I)cc3)nc2-c2ccc(Cl)cc2N1
CHEMBL1945023,6.468521083,NCCCc1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)cc1
CHEMBL1945024,6.585026652,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3ccc(Cl)cc3NC(=O)C4)cc2)CC1
CHEMBL1945025,7.677780705,NC(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)cc1
CHEMBL1945026,7.920818754,O=C1Cc2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3)nc2-c2ccc(Cl)cc2N1
CHEMBL1945027,6.37675071,CCN(CC)S(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)cc1
CHEMBL1945028,6.283996656,O=C1Cc2cnc(Nc3cccc(C(=O)NCCN4CCOCC4)c3)nc2-c2ccc(Cl)cc2N1
CHEMBL1945029,6.13667714,CN1CCN(Cc2cccc(Nc3ncc4c(n3)-c3ccc(Cl)cc3NC(=O)C4)c2)CC1
CHEMBL1945030,6.886056648,CN(C)CC1CC1c1cccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)c1
CHEMBL1945168,6.886056648,CN(C)CCOc1cccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)c1
CHEMBL1945169,6.537602002,O=C1Cc2cnc(Nc3cccc(N4CCOCC4)c3)nc2-c2ccc(Cl)cc2N1
CHEMBL1945170,8.301029996,CN(C)CCCc1cccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1
CHEMBL1945171,8.698970004,Cc1ccc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2
CHEMBL1945172,9,CN(C)CCCc1ccc(Cl)c(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1
CHEMBL1945173,8,COc1ccc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2
CHEMBL1945497,8.15490196,CN(C)CCCc1ccc(OC(F)(F)F)c(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1
CHEMBL1945498,8.397940009,CN(C)CCCc1ccc(C(F)(F)F)c(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1
CHEMBL1945499,8.096910013,CC(C)c1ccc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2
CHEMBL1945500,9,CN(C)CCCc1cc(Cl)cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1
CHEMBL1945501,8.698970004,CN(C)CCCc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)ccc1F
CHEMBL1945502,9,COc1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)cc1CCCN(C)C
CHEMBL1945559,5,Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O
CHEMBL1945801,9,CN(C)CCCc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)ccc1C(F)(F)F
CHEMBL1945802,6.327902142,COc1c(CCCN(C)C)cccc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2
CHEMBL1945803,9,CN(C)CCCc1cncc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1
CHEMBL1945804,8.698970004,Cc1ncc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2
CHEMBL1947148,7.508638306,COc1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=O)C3)cc1OC
CHEMBL1947149,8,COc1ccc(Nc2ncc3c(n2)-c2ccc(I)cc2NC(=O)C3)cc1OC
CHEMBL1956071,5,CCn1c(-c2nonc2N)nc2cncc(C(=O)N3CC[C@H](N)C3)c21
CHEMBL1957190,4.455931956,CC(C)n1c2c(c3c1-c1ccccc1C3=O)C(=O)CCC2
CHEMBL1964261,8.397940009,C[C@@H](Oc1cc(-n2cnc3ccc(OCCCN(C)C)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1964262,8.522878745,C[C@@H](Oc1cc(-n2cnc3ccc(OC[C@H](O)CN4CCCC4)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1964263,8.522878745,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCNCC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1964264,8.522878745,C[C@@H](Oc1cc(-n2cnc3ccc(O[C@H]4CCCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1964265,8.397940009,C[C@@H](Oc1cc(-n2cnc3ccc(O[C@@H]4CCCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1976040,6.455931956,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
CHEMBL197923,4.769551079,O=C(NCCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1
CHEMBL198022,4.698970004,Cc1n[nH]c2sc(C(N)=O)cc12
CHEMBL1983268,5,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1
CHEMBL199383,4.698970004,COc1ccc(CNC(=O)c2cc3c(-c4ccccc4)[nH]nc3s2)cc1
CHEMBL199528,4.698970004,CCCCN(C)C(=O)c1cc2c(-c3ccccc3)[nH]nc2s1
CHEMBL199657,4,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccc(Cl)c3)c12
CHEMBL199658,4,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3ccc(Cl)cc3)c12
CHEMBL199737,4.698970004,CC(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12
CHEMBL199755,4.920818754,O=C(NC1CCCCC1)c1cc2c(-c3ccccc3)[nH]nc2s1
CHEMBL199759,4,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)COc3ccccc3)c12
CHEMBL199951,4.698970004,Cc1n[nH]c2sc(C(=O)NC3CCCCC3)cc12
CHEMBL199996,4.698970004,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)Nc3ccccc3)c12
CHEMBL200348,4,COC(=O)c1cc2c(CN3CCCCC3)n[nH]c2s1
CHEMBL200586,4,COC(=O)c1cc2c(C)n[nH]c2s1
CHEMBL200657,4.698970004,CCCCN(C)C(=O)c1cc2c(C)n[nH]c2s1
CHEMBL200796,4.677780705,COC(=O)c1cc2c(Nc3ccccc3)[nH]nc2s1
CHEMBL201511,4,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC
CHEMBL202721,5,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1
CHEMBL2036725,4.22184875,Cn1c(-c2ccnc(Nc3ccccc3)n2)nc2ccccc21
CHEMBL2036726,4,Cc1ccc(Nc2nccc(-c3nc4ccccc4n3C)n2)cc1
CHEMBL2036727,4,Cn1c(-c2ccnc(Nc3ccc(Cl)cc3)n2)nc2ccccc21
CHEMBL2036728,4,Cn1c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)nc2ccccc21
CHEMBL2036865,5.22184875,Cn1c(-c2ccnc(Nc3ccc(O)c(Cl)c3)n2)nc2ccccc21
CHEMBL2036867,4,CCOc1ccc(Nc2nccc(-c3nc4ccccc4n3C)n2)cc1
CHEMBL2036868,4.823908741,COc1ccc(Nc2nccc(-c3nc4ccccc4n3C)n2)cc1
CHEMBL2036869,4.920818754,Cn1c(-c2ccnc(Nc3ccc(O)cc3)n2)nc2ccccc21
CHEMBL2036870,5.431798276,Cn1c(-c2ccnc(Nc3cccc(O)c3)n2)nc2ccccc21
CHEMBL2036871,4,Cn1c(=O)c2ccc(-c3nc4ccccc4n3C)nc2n(C)c1=O
CHEMBL2042029,5.408935393,CC(Oc1cc(-c2nc(-c3ccc(CN(C)C)cc3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL2042030,4.91721463,CC(Oc1cc(-c2nc(-c3cccc(CN(C)C)c3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL2042031,5.806875402,CC(Oc1cc(-c2cc(-c3ccc(CN(C)C)cc3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL2042032,5.482804102,CC(Oc1cc(-c2cc(-c3cccc(CN(C)C)c3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL2042035,6.301029996,CC(Oc1cc(-c2cc(-c3ccc(CN(C)C)s3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL2042040,5.879426069,CC(Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL2042041,5.075204004,CC(/C=C\C(F)(F)F)Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O
CHEMBL2042042,4.301029996,C[C@@H](/C=C\C(F)(F)F)Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O
CHEMBL2042135,5.235077015,C[C@H](/C=C\C(F)(F)F)Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O
CHEMBL2042136,6.086186148,C[C@@H](Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL2046883,5,Cc1ccc(NC(=O)Nc2nnc(Sc3ncnc4cc(OCCCN5CCOCC5)ccc34)s2)cc1
CHEMBL2048912,5,CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21
CHEMBL2148053,5,CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O.Cc1ccc(S(=O)(=O)O)cc1
CHEMBL2178352,5,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1
CHEMBL219711,6.199998172,COc1cc2ncn(-c3cc(OCc4ccc(S(C)(=O)=O)cc4)c(C#N)s3)c2cc1OC
CHEMBL219899,6.997833938,COc1cc2ncn(-c3cc(OCc4ccc(S(C)(=O)=O)cc4)c(C(N)=O)s3)c2cc1OC
CHEMBL220032,6.599997654,COc1cc2ncn(-c3cc(OCC4CCCO4)c(C(N)=O)s3)c2cc1OC
CHEMBL220241,5,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21
CHEMBL2207839,6.187086643,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(=O)CCCCCc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O
CHEMBL2207840,6.769551079,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=O)CCCCCCCc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O
CHEMBL2207841,6.853871964,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)NCCCCCCCc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O
CHEMBL2207842,5.958607315,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)NCCCCCCCCc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O
CHEMBL2207843,5.031517051,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cn(CCCCCCCCc2ccccc2)c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O
CHEMBL2207844,6.494850022,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cn(CCCCCCCCc2ccccc2)cn1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O
CHEMBL2207845,7.602059991,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cncn1CCCCCCCCc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O
CHEMBL2207846,6.207608311,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O
CHEMBL222312,6.199998172,COc1cc2ncn(-c3cc(OCc4ccccc4)c(C(=O)O)s3)c2cc1OC
CHEMBL222419,9.096910013,COc1cc2ncn(-c3cc(O[C@H](C)c4ccccc4Cl)c(C(N)=O)s3)c2cc1OC
CHEMBL2323729,4.729321164,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)O)[C@@H](C)OP(=O)(O)O
CHEMBL2324036,3.821023053,Cc1cc(-c2ccc(C#N)cc2)c(OCCO)c(-c2ccc(-c3nnn[nH]3)cc2)c1
CHEMBL232601,5,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)C1CC1
CHEMBL233001,5,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2
CHEMBL2332840,5,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1
CHEMBL2333163,5.193820026,O=C(NCCc1ccc(O)c(Br)c1)/C(Cc1cc(Br)c(O)c(Oc2ccc(CCNC(=O)/C(Cc3cc(Br)c(O)c(-c4cc(C/C(=N\O)C(=O)NCCc5ccc(O)c(Br)c5)cc(Br)c4O)c3)=N/O)cc2Br)c1)=N/O
CHEMBL2348417,5,O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1
CHEMBL2380586,5.301029996,Cn1cc(-c2cc3[nH]nc(-c4cccc(S(N)(=O)=O)c4)c3cc2NC2CCCCC2)cn1
CHEMBL2380587,5.301029996,CC(=O)Nc1cccc(-c2n[nH]c3cc(-c4cnn(C)c4)c(NC4CCCCC4)cc23)c1
CHEMBL2380650,6.920818754,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(C)=O)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL2380651,5.32330639,CC(C)C[C@@H]1NC(=O)CN(CCC(=O)NCCc2c[nH]c3ccccc23)C(=O)CSC[C@H](C(N)=O)NC(=O)[C@H]([C@@H](C)OP(=O)(O)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O
CHEMBL2380653,5.070581074,CC(C)C[C@@H]1NC(=O)CN(CCc2c[nH]c3ccccc23)C(=O)CSC[C@H](C(N)=O)NC(=O)[C@H]([C@@H](C)OP(=O)(O)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O
