,mol,smiles,pic50
0,CHEMBL476124,NC(=O)c1sc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[n+]1[O-],5.838631998
1,CHEMBL402548,CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,5.455931956
2,CHEMBL550741,C[C@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccccc1Cl,6.522878745
3,CHEMBL2401968,CCC1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1C1CCC(F)(F)C1,6.494850022
4,CHEMBL4515187,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C(C)C)CC4)cc3OCCO)nc2N1C1CCCC1,7.762205007
5,CHEMBL4165409,CCC1C(=O)N(C)c2cnc(Nc3ccc(S(=O)(=O)NCC(C)C)cc3)nc2N1c1ccn(C)n1,6.054186873
6,CHEMBL199657,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccc(Cl)c3)c12,4.0
7,CHEMBL476575,CCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(C(C)=O)cc2)c(=O)n1CC,7.091514981
8,CHEMBL550338,NC(=O)c1sc(-c2cnc(Nc3ccccc3)s2)cc1OCc1ccccc1C(F)(F)F,5.522878745
9,CHEMBL452932,C[C@H](Nc1cc2c(-c3ccccc3)noc2cn1)c1ccccc1,5.791558644
10,CHEMBL220032,COc1cc2ncn(-c3cc(OCC4CCCO4)c(C(N)=O)s3)c2cc1OC,6.599997654
11,CHEMBL474843,COc1ccc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2c1,8.698970004
12,CHEMBL598201,Cc1cc(O)ccc1Nc1ncc2c(n1)-c1ccccc1NC(=O)C2,4.698970004
13,CHEMBL1209844,Cc1cc(-c2ccc3c(c2)ncn3-c2cc(O[C@H](C)c3ccccc3C(F)(F)F)c(C(N)=O)s2)ccn1,9.0
14,CHEMBL1945502,COc1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)cc1CCCN(C)C,9.0
15,CHEMBL2407913,O=C1Nc2ccc(F)cc2/C1=C/c1ccc2cn[nH]c2c1,4.823908741
16,CHEMBL1098058,NC(=O)c1nn(CCN2CCCCC2)c2c1CCc1cnc(Nc3ccccc3)nc1-2,5.0
17,CHEMBL3344193,COc1cc(CNCc2ccncc2)ccc1OCc1ccc(Cl)cc1,8.522878745
18,CHEMBL1689158,CC(Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,8.045757491
19,CHEMBL1802870,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]c(CC)nc1C)C(=O)N2,4.698970004
20,CHEMBL525907,Cc1nn(-c2ccccc2)c2cc(N[C@@H](C)c3ccccc3)ncc12,5.885722703
21,CHEMBL1774335,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)[C@H](CO)C1,6.696803943
22,CHEMBL4519294,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCOCC4)cc3OCCO)nc2N1C1CCCC1,8.025949097
23,CHEMBL4448214,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cccc(Cl)c1)[C@H](CC)C(=O)N2C,6.26760624
24,CHEMBL3104852,COC1OC(=O)c2c(O)c(O)c(O)c(C)c21,4.522878745
25,CHEMBL1094135,COc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,7.37675071
26,CHEMBL480371,NC(=O)c1sc(-n2cnc3cc(C(F)(F)F)ccc32)cc1OCc1ccccc1Br,6.522878745
27,CHEMBL4552628,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,4.0
28,CHEMBL1794070,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl,8.698970004
29,CHEMBL232601,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)C1CC1,5.0
30,CHEMBL1200485,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,5.0
31,CHEMBL4215419,COc1cccc(F)c1-c1ccnc(Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)n1,4.903089987
32,CHEMBL1945499,CC(C)c1ccc(CCCN(C)C)cc1Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=S)C2,8.096910013
33,CHEMBL608427,O=C1Cc2cnc3ncnn3c2-c2ncccc2N1,4.0
34,CHEMBL4457656,CC[C@@H]1C(=O)N(C)c2cnc(Nc3cc(F)c(C(=O)NC(C)C)cc3OCCO)nc2N1C1CCCC1,8.142667504
35,CHEMBL1945024,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3ccc(Cl)cc3NC(=O)C4)cc2)CC1,6.585026652
36,CHEMBL4165706,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(S(=O)(=O)Nc4ccccc4)cc3)nc2N1C1CCCC1,6.962573502
37,CHEMBL563989,C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1C1CC1,6.677780705
38,CHEMBL1964264,C[C@@H](Oc1cc(-n2cnc3ccc(O[C@H]4CCCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl,8.522878745
39,CHEMBL606410,CCOc1ccc(Nc2ncc3c(n2)-c2ccccc2NC(=O)C3)cc1,4.0
40,CHEMBL474028,COc1cc2ncn(-c3cc(OCc4ccccc4Br)c(C(N)=O)s3)c2cc1OC,8.698970004
41,CHEMBL560014,C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccccc1Cl,8.15490196
42,CHEMBL4207165,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C(C)C,8.397940009
43,CHEMBL2402084,CC[C@@H]1C(=O)N(C)c2cnc(-c3cn[nH]c3-c3nccs3)nc2N1[C@H]1CCOC1,5.850780887
44,CHEMBL3785951,CC(=O)N1CCN([C@H]2C[C@@H](n3cc(-c4cc(OC[C@@H]5CCCO5)ccc4F)c4c(N)ncnc43)C2)CC1,5.0
45,CHEMBL2407896,O=C1Nc2ccccc2/C1=C\c1ccc2c(/C=C/c3ccccc3)n[nH]c2c1,5.0
46,CHEMBL1947149,COc1ccc(Nc2ncc3c(n2)-c2ccc(I)cc2NC(=O)C3)cc1OC,8.0
47,CHEMBL485285,Cc1ccc(C(=O)Nc2cccc(N3CCOCC3)c2)cc1-c1ccc2c(C3CCNCC3)noc2c1,4.602059991
48,CHEMBL2207841,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)NCCCCCCCc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,6.853871964
49,CHEMBL551079,C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNC(C)(C)C)cc1OC(F)F,8.008773924
50,CHEMBL4126831,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(C)=O)[C@@H](C)O)[C@@H](C)OP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(N)=O,7.129947418
51,CHEMBL2407747,CCc1ccc2c(c1)/C(=C\c1ccc3c(/C=C/c4cccnc4)n[nH]c3c1)C(=O)N2,5.0
52,CHEMBL4568087,Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1,5.0
53,CHEMBL604912,COc1ccc2c(c1)NC(=O)Cc1cnc(Nc3cccc(O)c3)nc1-2,6.075720714
54,CHEMBL521887,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2ccncc2c1,4.602059991
55,CHEMBL1793893,CCn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2,8.22184875
56,CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,5.476253533
57,CHEMBL1808336,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3OC)nc1-2,5.0
58,CHEMBL2392554,CC[C@@]1(F)CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc2N(C)C1=O,8.698970004
59,CHEMBL520037,COc1cc(Nc2ncc3c(C)nc(-c4cccc(C(F)(F)F)c4)n3n2)cc(OC)c1OC,7.522878745
60,CHEMBL598837,CCOc1ccc(Nc2ncc3c(n2)-c2ncccc2NC(=O)C3)cc1,4.0
61,CHEMBL3394768,O=C(O)CCc1cn(CC(O)CN2CCCC2)c2ccccc12,5.537602002
62,CHEMBL2407904,COc1cc(/C=C2\C(=O)N(C)c3ccc(Br)cc32)cc(Cl)c1O,5.0
63,CHEMBL1689165,CC(Oc1cc(-n2cnc3cc(OC4CCN(C)CC4)ccc32)ccc1C(N)=O)c1ccccc1C(F)(F)F,4.056011125
64,CHEMBL4161027,CCCNC(=O)c1ccc2c(ccn2-c2ncc3c(n2)N(c2ccn(C)n2)C(CC)C(=O)N3C)c1,5.606951534
65,CHEMBL4172511,CCC1C(=O)N(C)c2cnc(Nc3ccc(S(=O)(=O)NC)cc3)nc2N1c1ccn(C)n1,6.129596095
66,CHEMBL598633,O=C1Cc2cnc(Nc3ccc(O)cc3)nc2-c2ncccc2N1,4.259637311
67,CHEMBL2207844,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cn(CCCCCCCCc2ccccc2)cn1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,6.494850022
68,CHEMBL519858,Cc1cc(C)cc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)c1,6.826813732
69,CHEMBL597586,O=C1Cc2cnc(Nc3ccc(Br)cc3)nc2-c2ccccc2N1,4.0
70,CHEMBL1964261,C[C@@H](Oc1cc(-n2cnc3ccc(OCCCN(C)C)cc32)sc1C(N)=O)c1ccccc1Cl,8.397940009
71,CHEMBL1808339,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(N)=O)cc3OC(F)(F)F)nc1-2,5.0
72,CHEMBL1738758,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,8.602059991
73,CHEMBL519375,COc1cc(Nc2ncc3c(C)nc(-c4cccc(Br)c4)n3n2)cc(OC)c1OC,7.15490196
74,CHEMBL3394763,O=C(O)Cc1cn(CC(O)CN2CCCCC2)c2ccccc12,6.387216143
75,CHEMBL2407905,COc1cc(/C=C2\C(=O)Nc3ccc(Br)cc32)cc(Br)c1OC,5.0
76,CHEMBL2407916,COc1ccc2c(c1)/C(=C\c1ccc3cn[nH]c3c1)C(=O)N2,5.0
77,CHEMBL481491,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1C(F)(F)F,7.602059991
78,CHEMBL4454222,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3C)nc2N1C1CCCC1,8.240332155
79,CHEMBL2333163,O=C(NCCc1ccc(O)c(Br)c1)/C(Cc1cc(Br)c(O)c(Oc2ccc(CCNC(=O)/C(Cc3cc(Br)c(O)c(-c4cc(C/C(=N\O)C(=O)NCCc5ccc(O)c(Br)c5)cc(Br)c4O)c3)=N/O)cc2Br)c1)=N/O,5.193820026
80,CHEMBL2402079,CCC1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1c1cc[nH]n1,5.465973894
81,CHEMBL482349,COc1cc2ncn(-c3cc(OCc4ccco4)c(C(N)=O)s3)c2cc1OC,7.568636236
82,CHEMBL2401969,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1C1CC(F)(F)C1,5.027334408
83,CHEMBL520692,Cc1nc(-c2ccccc2)n2nc(Nc3ccc(OCCN(C)C)cc3)ncc12,6.420216403
84,CHEMBL526709,CNc1cccc(-c2ccnc(Nc3ccc(O)cc3)n2)c1,4.863279433
85,CHEMBL1630117,O=C(NO)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,5.698970004
86,CHEMBL1090360,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,6.0
87,CHEMBL516582,CCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(NC(=O)COC)cc2)c(=O)n1CC,6.301029996
88,CHEMBL1933575,NC(=O)c1c[nH]c(-c2ccnc(N)n2)c1,5.0
89,CHEMBL1097429,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccc(C(F)(F)F)cc3)ncc1CC2,6.059483515
90,CHEMBL1630114,Nc1ccccc1NC(=O)/C=C/c1cccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1,5.259637311
91,CHEMBL3104851,Cc1c(O)c(O)c2c(c1C=O)[C@@H]1O[C@H](O2)c2c(C)c(O)c(O)c(O)c2C1=O,5.49757288
92,CHEMBL1276848,COc1cc(-c2cnc(N)c(N3CC[C@@H](C(=O)O)[C@@H](C)[C@H]3C)n2)cc(OC)c1OC,4.71219827
93,CHEMBL1808338,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(N)=O)cc3OC)nc1-2,5.517984424
94,CHEMBL2401961,CC(C)N1c2nc(-n3ccnc3-c3ccc(F)cc3)ncc2N(C)C(=O)C1(C)C,4.0
95,CHEMBL4103908,CC[C@@H]1c2c(C#N)ncn2-c2cnc(Nc3cc(F)c(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C(C)C,8.721246399
96,CHEMBL2401958,CN1C(=O)C(CC(F)(F)F)N(CCC(F)(F)F)c2nc(-n3ccnc3-c3ccc(F)cc3)ncc21,5.458420756
97,CHEMBL4212641,COc1cccc(F)c1-c1ccnc(Nc2cccc(Cn3cnc4ccccc43)c2)n1,4.903089987
98,CHEMBL518968,CNC(=O)c1sc(-n2cnc3cc(OC)c(OC)cc32)cc1OCc1ccccc1C(F)(F)F,6.0
99,CHEMBL4170176,CCCCNS(=O)(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)cc1,7.390405591
100,CHEMBL4171224,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccc4cc(C(=O)NCC(C)C)ccc43)nc2N1C1CCCC1,6.915423722
101,CHEMBL2401960,CC(C)N1c2nc(-n3ccnc3-c3ccc(F)cc3)ncc2N(C)C(=O)C12CCC2,4.596879479
102,CHEMBL2036869,Cn1c(-c2ccnc(Nc3ccc(O)cc3)n2)nc2ccccc21,4.920818754
103,CHEMBL3987050,CNC(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12,3.425968732
104,CHEMBL477615,CCCOC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(O)cc2)c(=O)n1CC,7.443697499
105,CHEMBL1099106,CC(=O)c1ccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,6.705533774
106,CHEMBL498189,Cc1nn(-c2ccc(F)cc2)c2cc(N[C@@H](C)c3ccccc3)ncc12,5.489320969
107,CHEMBL591896,O=C1Cc2cnc3ccnn3c2-c2ncccc2N1,4.0
108,CHEMBL2402083,CC[C@@H]1C(=O)N(C)c2cnc(-c3cn[nH]c3-c3nccs3)nc2N1C1CCOCC1,6.602059991
109,CHEMBL526639,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2ccncc2c1,4.602059991
110,CHEMBL4209902,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)[C@H](C)C(=O)N2C,8.958607315
111,CHEMBL2392556,C=CC[C@H]1CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc2N(C)C1=O,9.0
112,CHEMBL4160611,CCCCNC(=O)c1ccc2c(ccn2-c2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)c1,6.791558644
113,CHEMBL2407914,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc2cn[nH]c2c1,5.0
114,CHEMBL1271535,CN1CCCC1CCNc1ccc(OC(F)(F)F)c(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,6.866461092
115,CHEMBL1933576,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4C)n3)c2)CC1,7.823908741
116,CHEMBL4449123,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NCCN(C)C)cc3OCCO)nc2N1C1CCCC1,7.419987887
117,CHEMBL1096095,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Oc3ccccc3)ncc1CC2,6.555955204
118,CHEMBL3104853,COCc1c(C)c(O)c(O)c(O)c1C=O,4.522878745
119,CHEMBL481492,Cc1ccccc1COc1cc(-n2cnc3cc(Cl)ccc32)sc1C(N)=O,7.677780705
120,CHEMBL1271482,CN1C(C)(C)CC(Nc2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1(C)C,6.015922966
121,CHEMBL475857,COc1cc2ncn(-c3cc(OCc4ccccc4)c(C(N)=O)s3)c2cc1OC,7.920818754
122,CHEMBL1208834,C[C@@H](Oc1cc(-n2cnc3ccc(-c4ccnc(Cl)c4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,7.27572413
123,CHEMBL486346,Cc1nc(-c2ccccc2)n2nc(Nc3cccc(C(F)(F)F)c3)ncc12,5.0
124,CHEMBL497167,CC(=O)Nc1ccccc1-c1cc(Cl)cc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)c1,6.684029655
125,CHEMBL1089082,O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1cccc(C(F)(F)F)c1,4.301029996
126,CHEMBL2407746,O=C1Nc2ccccc2/C1=C\c1ccc2c(/C=C/c3cccnc3)n[nH]c2c1,5.0
127,CHEMBL474053,COc1cc2ncn(-c3cc(OCc4ccccc4OC(F)(F)F)c(C(N)=O)s3)c2cc1OC,8.301029996
128,CHEMBL3944369,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cncn1CCCCCCO/N=C/c1cnc(N(C)Cc2ccccc2)s1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,6.876148359
129,CHEMBL3977234,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cncn1CCCCCCCCCc1c(F)cccc1Oc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,6.8569852
130,CHEMBL4469087,CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1ccccc1)[C@H](CC)C(=O)N2C,6.537602002
131,CHEMBL3394767,O=C(O)CCc1cn(CC(O)CN2CCCCC2)c2ccccc12,5.243363892
132,CHEMBL559639,Cn1nc(C(=O)NC2CC2)c2c1-c1nc(Nc3ccccc3)ncc1CC2,5.0
133,CHEMBL4285090,CC(=O)N[C@@H](Cc1cncn1CCCCCCCCc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,4.886056648
134,CHEMBL514643,COc1ccc(COc2cc(-n3cnc4cc(OC)c(OC)cc43)sc2C(N)=O)cc1,7.886056648
135,CHEMBL514371,C#CNC(=O)/C(C#N)=c1\s/c(=C/Nc2ccc(OCCN(C)C)cc2)c(=O)n1CC,7.148741651
136,CHEMBL4292295,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]1Cc2c[n+](cn2CCCCCCCCc2ccccc2)CCCCNC(=O)[C@H]([C@@H](C)OP(=O)(O)O)NC(=O)[C@H](CO)NC1=O,7.070581074
137,CHEMBL3970781,CCCCc1ccc(C(=O)NC)cc1,5.065501549
138,CHEMBL490814,C[C@H](Nc1cc2c(-c3cc(Cl)cc(CCCO)c3)noc2cn1)c1ccccc1,7.004364805
139,CHEMBL2207846,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,6.207608311
140,CHEMBL1208958,C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N5CCN(C)CC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl,8.698970004
141,CHEMBL1774340,CN(C)CCCn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2,6.554395797
142,CHEMBL3977826,CNC(=O)c1ccc(-c2noc(C)n2)cc1,3.494850022
143,CHEMBL2392543,C=C[C@]1(F)CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc2N(C)C1=O,6.769551079
144,CHEMBL1208893,C[C@@H](Oc1cc(-n2cnc3cc(-c4cnc(N)nc4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F,9.0
145,CHEMBL4454586,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCc3ccccc3)nc2N1C1CCCC1,6.053253065
146,CHEMBL1095457,CNc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,6.958607315
147,CHEMBL491850,Cc1nn(-c2cccc(C(C)C)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12,5.830913643
148,CHEMBL1793896,C=Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2,8.455931956
149,CHEMBL4177399,CCCNS(=O)(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](CC)C(=O)N3C)cc1,7.459420283
150,CHEMBL4531932,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3OCCO)nc2N1C1CCCC1,8.031050319
151,CHEMBL560206,C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccccc1CO,7.055517328
152,CHEMBL487976,Cc1nc(-c2ccccc2)n2nc(Nc3ccccc3)ncc12,5.920818754
153,CHEMBL1944680,COc1ccc(Nc2ncc3c(n2)-c2ccc(F)cc2NC(=O)C3)cc1OC,6.698970004
154,CHEMBL1208892,C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N)n4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F,9.0
155,CHEMBL1289926,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,5.0
156,CHEMBL3908492,CNC(=O)CN1C(=O)COc2ccc(C)cc21,3.455931956
157,CHEMBL1933580,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4CCOC4CCCCO4)n3)c2)CC1,6.565431096
158,CHEMBL3394757,O=C(CCc1cn(CC(O)CN2CCCCC2)c2ccccc12)c1ccccc1,5.739928612
159,CHEMBL2401964,CC[C@@H]1C(=O)N(C)c2cnc(-c3cn[nH]c3-c3nccs3)nc2N1C(C)C,6.113509275
